,actlevel,X,WEEK,SEASON
1330,1,2008-0915,15,2008-09
1331,1,2008-0915,15,2008-09
1332,1,2008-0915,15,2008-09
1333,1,2008-0915,15,2008-09
1334,1,2008-0915,15,2008-09
1335,2,2008-0915,15,2008-09
1336,2,2008-0915,15,2008-09
1337,3,2008-0915,15,2008-09
1338,4,2008-0915,15,2008-09
1339,5,2008-0915,15,2008-09
1340,1,2008-0916,16,2008-09
1341,1,2008-0916,16,2008-09
1342,1,2008-0916,16,2008-09
1343,1,2008-0916,16,2008-09
1344,1,2008-0916,16,2008-09
1345,1,2008-0916,16,2008-09
1346,1,2008-0916,16,2008-09
1347,1,2008-0916,16,2008-09
1348,1,2008-0916,16,2008-09
1349,1,2008-0916,16,2008-09
1350,1,2008-0916,16,2008-09
1351,1,2008-0916,16,2008-09
1352,1,2008-0916,16,2008-09
1353,1,2008-0916,16,2008-09
1354,1,2008-0916,16,2008-09
1355,1,2008-0916,16,2008-09
1356,1,2008-0916,16,2008-09
1357,1,2008-0916,16,2008-09
1358,1,2008-0916,16,2008-09
1359,1,2008-0916,16,2008-09
1360,1,2008-0916,16,2008-09
1361,1,2008-0916,16,2008-09
1362,1,2008-0916,16,2008-09
1363,1,2008-0916,16,2008-09
1364,1,2008-0916,16,2008-09
1365,1,2008-0916,16,2008-09
1366,1,2008-0916,16,2008-09
1367,1,2008-0916,16,2008-09
1368,1,2008-0916,16,2008-09
1369,1,2008-0916,16,2008-09
1370,1,2008-0916,16,2008-09
